HCT1, HCT2, HCT3, TauT1, TauT2, TauT3 
1649854.365633, 2178084.100291, 2006949.273884, 10697147637.920000, 10697147637.920000, 10697147637.920000 
1676603.256487, 2230383.223060, 2060382.996980, 11038065950.720001, 11038065950.720001, 11038065950.720001 
1703369.898644, 2283380.576536, 2114722.989726, 11387068866.719999, 11387068866.719999, 11387068866.719999 
1730147.926557, 2337075.381450, 2169974.455477, 11744283200.000000, 11744283200.000000, 11744283200.000000 
1756931.018441, 2391466.734449, 2226142.503253, 12109836751.519999, 12109836751.519999, 12109836751.519999 
1783712.898572, 2446553.609246, 2283232.147411, 12483858309.119999, 12483858309.119999, 12483858309.119999 
1810487.339505, 2502334.857801, 2341248.307346, 12866477647.519999, 12866477647.519999, 12866477647.519999 
1837248.164220, 2558809.211511, 2400195.807214, 13257825528.320000, 13257825528.320000, 13257825528.320000 
1863989.248182, 2615975.282423, 2460079.375673, 13658033700.000000, 13658033700.000000, 13658033700.000000 
1890704.521331, 2673831.564456, 2520903.645653, 14067234897.920000, 14067234897.920000, 14067234897.920000 
1917387.969996, 2732376.434643, 2582673.154139, 14485562844.320000, 14485562844.320000, 14485562844.320000 
1944033.638729, 2791608.154389, 2645392.341976, 14913152248.320000, 14913152248.320000, 14913152248.320000 
1970635.632074, 2851524.870734, 2709065.553700, 15350138805.919998, 15350138805.919998, 15350138805.919998 
1997188.116257, 2912124.617639, 2773697.037383, 15796659200.000000, 15796659200.000000, 15796659200.000000 
2023685.320806, 2973405.317276, 2839290.944500, 16252851100.319998, 16252851100.319998, 16252851100.319998 
2050121.540103, 3035364.781336, 2905851.329816, 16718853163.520000, 16718853163.520000, 16718853163.520000 
2076491.134862, 3098000.712344, 2973382.151288, 17194805033.119999, 17194805033.119999, 17194805033.119999 
2102788.533544, 3161310.704983, 3041887.269990, 17680847339.520000, 17680847339.520000, 17680847339.520000 
2129008.233703, 3225292.247434, 3111370.450055, 18177121700.000000, 18177121700.000000, 18177121700.000000 
2155144.803260, 3289942.722714, 3181835.358635, 18683770718.719997, 18683770718.719997, 18683770718.719997 
2181192.881722, 3355259.410033, 3253285.565875, 19200937986.719997, 19200937986.719997, 19200937986.719997 
2207147.181329, 3421239.486153, 3325724.544910, 19728768081.919998, 19728768081.919998, 19728768081.919998 
2233002.488143, 3487880.026755, 3399155.671874, 20267406569.119999, 20267406569.119999, 20267406569.119999 
2258753.663072, 3555178.007814, 3473582.225928, 20816999999.999996, 20816999999.999996, 20816999999.999996 
2284395.642835, 3623130.306975, 3549007.389307, 21377695913.119999, 21377695913.119999, 21377695913.119999 
2309923.440869, 3691733.704943, 3625434.247376, 21949642833.919998, 21949642833.919998, 21949642833.919998 
2335332.148171, 3760984.886869, 3702865.788705, 22532990274.719997, 22532990274.719997, 22532990274.719997 
2360616.934096, 3830880.443746, 3781304.905166, 23127888734.720001, 23127888734.720001, 23127888734.720001 
2385773.047083, 3901416.873807, 3860754.392030, 23734489700.000000, 23734489700.000000, 23734489700.000000 
2410795.815337, 3972590.583924, 3941216.948097, 24352945643.519997, 24352945643.519997, 24352945643.519997 
2435680.647453, 4044397.891018, 4022695.175823, 24983410025.119999, 24983410025.119999, 24983410025.119999 
2460423.032993, 4116835.023457, 4105191.581475, 25626037291.520000, 25626037291.520000, 25626037291.520000 
2485018.542998, 4189898.122473, 4188708.575292, 26280982876.320000, 26280982876.320000, 26280982876.320000 
2509462.830467, 4263583.243565, 4273248.471662, 26948403200.000000, 26948403200.000000, 26948403200.000000 
2533751.630772, 4337886.357916, 4358813.489314, 27628455669.919998, 27628455669.919998, 27628455669.919998 
2557880.762035, 4412803.353800, 4445405.751518, 28321298680.320000, 28321298680.320000, 28321298680.320000 
2581846.125451, 4488330.037994, 4533027.286305, 29027091612.319996, 29027091612.319996, 29027091612.319996 
2605643.705569, 4564462.137194, 4621680.026694, 29745994833.919998, 29745994833.919998, 29745994833.919998 
2629269.570529, 4641195.299421, 4711365.810932, 30478169699.999996, 30478169699.999996, 30478169699.999996 
2652719.872248, 4718525.095434, 4802086.382748, 31223778552.320000, 31223778552.320000, 31223778552.320000 
2675990.846577, 4796447.020136, 4893843.391622, 31982984719.519997, 31982984719.519997, 31982984719.519997 
2699078.813397, 4874956.493983, 4986638.393052, 32755952517.119995, 32755952517.119995, 32755952517.119995 
2721980.176697, 4954048.864390, 5080472.848853, 33542847247.519997, 33542847247.519997, 33542847247.519997 
2744691.424592, 5033719.407130, 5175348.127445, 34343835200.000000, 34343835200.000000, 34343835200.000000 
2767209.129316, 5113963.327734, 5271265.504172, 35159083650.720001, 35159083650.720001, 35159083650.720001 
